
IMF025=>2021-06-30 21:00:02=>2021-06-30 21:27:10=>81=>lcavia@outlook.com.ar
MYT652=>2021-06-30 15:16:19=>2021-06-30 21:28:08=>742=>lcavia@outlook.com.ar
mati3112=>2021-07-06 10:04:44=>2021-07-06 10:19:54=>45=>iyu@12
ppp888=>2021-07-06 10:17:00=>2021-07-06 10:24:56=>21=>iuy@12
DRA226=>2021-07-02 18:03:52=>2021-07-08 20:54:01=>8860=>lcavia@outlook.com.ar
PFA172=>2021-07-01 22:28:40=>2021-07-16 18:53:35=>21434=>lcavia@outlook.com.ar
LKJ056=>2021-07-01 22:36:56=>2021-07-16 20:52:49=>21545=>iuy@12
lll565=>2021-07-16 20:55:33=>2021-07-16 20:57:59=>56=>iuy@12
dem355=>2021-07-16 20:59:14=>2021-07-16 20:59:35=>50=>iuy@12
dde889=>2021-07-16 21:00:56=>2021-07-16 21:01:24=>50=>iuy@12
DRA226=>2021-07-16 21:03:09=>2021-07-16 21:03:24=>45=>iuy@12
aaa111=>2021-07-02 18:04:34=>2021-07-19 22:28:19=>24743=>iuy@12
MRA422=>2021-06-30 22:03:56=>2021-07-19 22:29:13=>27385=>iuy@12
MRA422=>2021-06-30 22:03:56=>2021-07-19 22:35:59=>27392=>iuy@12
MRA422=>2021-06-30 22:03:56=>2021-07-19 22:36:03=>27392=>iuy@12
MRA422=>2021-06-30 22:03:56=>2021-07-19 22:36:28=>27392=>iuy@12
hhh111=>2021-06-30 15:26:58=>2021-07-19 22:36:45=>25010.1=>iuy@12
kki1266=>2021-07-13 19:16:55=>2021-07-19 22:38:14=>8841=>iuy@12
IMF025=>2021-07-01 22:30:24=>2021-07-19 22:39:02=>25928=>iuy@12
yuo999=>2021-07-19 22:40:00=>2021-07-19 22:41:12=>2.7=>iuy@12
